,PartID,ItemID,SequenceOrder,Title,Date,StartPageID,SegmentUrl,CreatorName,NameConfirmedFromPage,MatchedNames,Confidences,best_match,has_best_match
0,26998,14667.0,53,"Drosera graomogolensis (Droseraceae), a new species from the campos repestres of Minas Gerais, Brazil",1997,639904,https://www.biodiversitylibrary.org/part/26998,"Silva, T R Dos S",Drosera graminifolia | Drosera sessilifolia | Drosera | Droseraceae | Folia | Drosera subgen. Thelocalyx | Ptarmica ser. Rupestres | Tania | Drosera graomogolensis | Regina | Fructus,"['Drosera graomogolensis T.Silva', 'Droseraceae', 'Drosera L.', 'Rupestres Fr. & Summa Veg.Scand.', 'Reginea Schallreuter, 1983', 'Animalia', 'Animalia', 'Drosera graminifolia St.Hil.', 'Drosera sessilifolia St.Hil.']","[100, 96, 95, 95, 89, 86, 86, 84, 84]",Drosera graomogolensis T.Silva,True
1,27000,14667.0,4,A new species of Citharexylum (Verbenaceae) from Ecuador,1997,639914,https://www.biodiversitylibrary.org/part/27000,"Aymard C., Gerardo A. | Rueda, R M",Aegiphila | Citharexylum | Napo | Sacha | Verbenoideae | Verbenaceae | Citharexylum grandiflorum | Verbenaceae,"['Citharexylum grandiflorum Aymard & Rueda', 'Verbenaceae', 'Verbenaceae']","[100, 96, 96]",Citharexylum grandiflorum Aymard & Rueda,True
2,27028,14667.0,51,Twelve new species of Merostachys (Poaceae: Bambusoideae: Bambuseae) from Brazil,1997,640102,https://www.biodiversitylibrary.org/part/27028,"Sendulsky, T",Merostachys | Rhipidocladum | Rondonia | Tatiana | Bambuseae | Bambusoideae | Poaceae | Arthrostylidium | Poaceae,"['Poaceae', 'Poaceae']","[96, 96]",,False
3,27043,14667.0,48,Notes on neotropical Parathesis (Myrsinaceae),1997,640215,https://www.biodiversitylibrary.org/part/27043,"Pipoly, John J. III | Ricketson, J M",Myrsinaceae | Parathesis | Parathesis costaricensis | Parathesis sinuata | Pinguicula sect. Mesoamericana,"['Parathesis sinuata (Lundell) Ricketson & Pipoly', 'Myrsinaceae', 'Pinguicula L.', 'Parathesis costaricensis Ricketson']","[100, 96, 94, 83]",Parathesis sinuata (Lundell) Ricketson & Pipoly,True
4,2994,14669.0,6,"Beilschmiedia manantlanensis (Lauraceae), una nueva especie de Jalisco, México",1999,640749,https://www.biodiversitylibrary.org/part/2994,"Cuevas, R | Cochrane, Theodore S.",Bacca | Beilschmiedia manantlanensis | Beilschmiedia | Cas | Folia | Lauraceae | La,"['Beilschmiedia manantlanensis Cuevas & Cochrane', 'Lauraceae']","[100, 96]",Beilschmiedia manantlanensis Cuevas & Cochrane,True
5,2996,14669.0,8,"Austral Hepaticae. 26. The identity, taxonomic position, and ecology of Trichocolea julacea Hatcher (Trichocoleaceae)",1999,640756,https://www.biodiversitylibrary.org/part/2996,"Engel, John J., 1941-",Blepharostomatoideae | Chaetocoleoideae | Hepaticae | Leiomitra julacea | Stenandrium sect. Hirtiflora | Temnoma | Pseudolepicoleaceae | Trichocolea julacea | Trichocolea | Trichocoleaceae | Temnomoideae | Leiomitra | Eotrichocolea,"['Leiomitra julacea Hatcher ex J.J.Engel', 'Pseudolepicoleaceae', 'Trichocoleaceae', 'Stenandrium Nees', 'Trichocolea Dumort.', 'Marchantiophyta']","[100, 96, 96, 95, 94, 92]",Leiomitra julacea Hatcher ex J.J.Engel,True
6,2997,14669.0,9,"Austral Hepaticae. 28. Plagiochila bazzanioides Engel & Merrill, a remarkable new species of Plagiochilaceae from New Zealand",1999,640760,https://www.biodiversitylibrary.org/part/2997,"Engel, John J., 1941- | Merrill, G. L. Smith",Hepaticae | Plagiochila bazzanioides | Plagiochila | Australasia | Plagiochilaceae,"['Plagiochila bazzanioides J.J.Engel & G.L.Merr.', 'Plagiochilaceae', 'Marchantiophyta']","[100, 96, 92]",Plagiochila bazzanioides J.J.Engel & G.L.Merr.,True
7,3003,14669.0,15,"Calathea singularis and Stromanthe palustris, two new species of Neotropical Marantaceae",1999,640792,https://www.biodiversitylibrary.org/part/3003,"Kennedy, Helen, 1941-",Lagoa | Sooretama | Stromanthe palustris | Marantaceae | Calathea singularis,"['Stromanthe palustris H.Kenn.', 'Calathea singularis H.Kenn.', 'Marantaceae']","[100, 100, 96]",Stromanthe palustris H.Kenn.,True
8,3015,14669.0,27,"Valeriana tajuvensis (Valerianaceae), a new species from southern Brazil",1999,640845,https://www.biodiversitylibrary.org/part/3015,"Sobral, M",Fissurella subgen. Serra | Xena | Valeriana | Valerianaceae | Valeriana tajuvensis | Ipiranga,"['Valeriana tajuvensis Sobral', 'Valerianaceae', 'Serra']","[100, 96, 94]",Valeriana tajuvensis Sobral,True
9,3019,14669.0,31,"Heterocentron evansii (Melastomataceae): a new species from Pico Bonito National Park, Honduras",1999,640858,https://www.biodiversitylibrary.org/part/3019,"Almeda, Frank.",Henriettella hondurensis | Heterocentron | Melastomataceae | Melas | Ovarium | Miconia celaquensis | Schizocentron | Atlantida | Heterocentron evansii,"['Miconia celaquensis Almeda', 'Heterocentron evansii Almeda', 'Melastomataceae', 'Henriettella Naudin']","[100, 100, 96, 94]",Miconia celaquensis Almeda,True
